Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio,Binary-Correct
8586,2935,1,2958,2935,,1,,1,1,,0.7836456559,1
8591,1594,1,1613,1594,,1,,1,1,,1.1919698871,1
8593,536,1,540,536,,1,,1,1,,0.7462686567,1
8601,807,1,814,807,,1,,1,1,,0.8674101611,1
8604,733,1,743,733,,1,,1,1,,1.3642564802,1
8609,734,1,742,734,,1,,1,1,,1.0899182561,1
8616,762,1,771,762,,1,,1,1,,1.1811023622,1
8628,1073,1,1078,1073,,1,,1,1,,0.4659832246,1
8697,3400,1,3429,3400,,1,,1,1,,0.8529411765,1
8729,2014,1,2047,2014,,1,,1,1,,1.638530288,1
8750,1882,1,1944,1882,,1,,1,1,,3.2943676939,1
8766,4416,0,4503,4416,,,,,,,1.9701086957,
8795,1433,1,1470,1433,,1,,1,1,,2.581995813,1
8801,3186,1,3216,3186,,1,,1,1,,0.9416195857,1
8802,2419,1,2448,2419,,1,,1,1,,1.1988424969,1
8830,3849,1,3895,3849,,1,,1,1,,1.1951156144,1
8840,196,1,198,196,,1,,1,1,,1.0204081633,1
8848,549,1,546,549,,,,,,,-0.5464480874,1
8870,3085,1,3089,3085,,1,,1,1,,0.1296596434,1
8876,11280,1,11447,11280,,1,,1,1,,1.4804964539,1
8897,560,1,559,560,,,,,,,-0.1785714286,1
8905,1809,1,1814,1809,,1,,1,1,,0.2763957988,1
8933,1111,1,1114,1111,,1,,1,1,,0.2700270027,1
9001,520,0,527,520,,,,,,,1.3461538462,
9003,652,1,654,652,,1,,1,1,,0.3067484663,1
9005,877,1,886,877,,1,,1,1,,1.0262257697,1
9007,1100,1,1112,1100,,1,,1,1,,1.0909090909,1
9008,854,1,864,854,,1,,1,1,,1.1709601874,1
9009,1280,0,1291,1280,,,,,,,0.859375,
9020,10150,0,10287,10150,,,,,,,1.3497536946,
9021,7430,0,7559,7430,,,,,,,1.736204576,
