Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio
9640,1157,0,1154,1200,,,1,,,,-3.8333333333
9682,2562,0,2535,2691,,,1,,,,-5.7971014493
9684,3030,1,2957,3065,,,,,,,-3.5236541599
9719,4150,0,4080,4285,,,1,,,,-4.7841306884
9735,7397,0,7342,7546,,,1,,,,-2.7034190299
9739,932,0,917,968,,,1,,,,-5.2685950413
9742,976,0,962,1001,,,1,,,,-3.8961038961
9766,2563,0,2482,2581,,,1,,,,-3.8357225881
9783,3080,0,3062,3140,,,1,,,,-2.4840764331
9787,3725,0,3666,3735,,,1,,,,-1.8473895582
9810,389,0,382,392,,,1,,,,-2.5510204082
9831,451,0,447,454,,,1,,,,-1.5418502203
9843,9260,0,9215,9810,,,1,,,,-6.0652395515
9934,3685,0,3620,3755,,,1,,,,-3.5952063915
9936,3800,0,3750,3870,,,1,,,,-3.1007751938
9948,2322,0,2318,2320,1,,1,,1,,-0.0862068966
9956,3360,0,3374,3385,,,,,,,-0.3249630724
9962,5480,1,5475,5480,,,,,,,-0.0912408759
9983,50620,0,49303,50290,1,,1,,1,,-1.9626168224
9984,6870,0,6879,6952,,,,,,,-1.0500575374
9989,6580,0,6506,6820,,,1,,,,-4.6041055718
,,34,,,78,1,429,2,79,18.3294663573,-2.7547011171
,,,,,,,,,,,-11.5384615385
,,,,,,,,,,,4.4238410596
