銘柄コード,銘柄名称,始値,高値,安値,終値,前日終値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
8356,(株)十六銀行,478,501,474,488,486,1276000,185070,379241348,1.43,7.0,15.59,0.53,31.31,918.51,488000,1000,570,375
8358,スルガ銀行(株),2242,2307,2185,2239,2290,1425000,577974,258139248,0.85,19.0,15.05,1.79,148.75,1253.2,223900,100,2854,2068
8359,(株)八十二銀行,797,833,793,806,816,1159000,411949,511103411,1.12,9.0,17.96,0.61,44.88,1330.78,806000,1000,997,713
8377,(株)ほくほくフィナンシャルグループ,261,271,259,263,266,7304000,355479,1351630146,1.62,4.25,14.16,0.61,18.57,434.22,263000,1000,315,224
8379,(株)広島銀行,652,686,649,661,672,1749000,413301,625266342,1.36,9.0,15.99,0.93,41.33,711.49,661000,1000,778,548
8382,(株)中国銀行,1709,1764,1689,1716,1740,395000,343667,200272106,1.05,18.0,14.28,0.65,120.2,2637.08,171600,100,2044,1561
8385,(株)伊予銀行,1300,1364,1294,1318,1327,1046400,426736,323775366,0.91,12.0,16.47,0.71,80.04,1865.6,131800,100,1638,1230
8410,(株)セブン銀行,489,508,486,498,501,7936000,593118,1191001000,1.61,8.0,23.92,3.48,20.82,143.21,49800,100,661,461
8411,(株)みずほフィナンシャルグループ,234,245,232,241,240,323346500,5982326,24792067677,3.11,7.5,9.44,0.73,25.57,330.12,24130,100,280,191
8418,(株)山口フィナンシャルグループ,1449,1488,1440,1455,1463,960000,384635,264353616,1.03,15.0,11.25,0.61,129.35,2393.64,1455000,1000,1709,1136
8424,芙蓉総合リース(株),4440,4555,4375,4385,4570,89000,132812,30287810,1.96,86.0,8.26,0.65,530.92,6717.96,438500,100,5430,3710
8425,興銀リース(株),2380,2452,2371,2385,2444,80100,101718,42649000,2.52,60.0,8.84,0.84,269.65,2824.04,238500,100,2984,2168
